year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2022,5,1,20,0,4,3,3,7,8,4,13,17,11,0,4,2,3,5,4,4,10,14,9,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,1,1,0,1,1,81,2,4,-189,49,Hartford
2023,5,1,15,1,0,0,2,4,2,1,6,7,12,1,0,0,2,3,1,1,5,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,109,0,16,-188,50,Hartford
2024,5,1,15,0,1,0,0,5,1,1,5,6,14,0,1,0,0,4,1,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,72,2,6,-186,52,Hartford
2012,6,1,0,1,2,1,0,3,4,3,4,7,0,0,1,0,0,3,1,1,3,4,0,1,1,1,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,1,30,-156,82,Hartford
2013,6,1,0,1,2,2,1,8,4,3,11,14,0,1,0,1,0,4,0,1,5,6,0,0,1,1,0,3,2,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,2,3,133,1,23,-155,83,Hartford
2014,6,1,0,1,2,4,1,9,2,3,14,17,0,0,2,2,1,6,1,2,9,11,0,1,0,2,0,3,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,144,0,14,-154,84,Hartford
2015,6,1,0,1,3,1,0,7,0,4,8,12,0,1,2,0,0,5,0,3,5,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,102,0,6,-153,85,Hartford
2016,6,1,0,2,6,5,1,13,5,8,19,27,0,2,5,4,1,13,0,7,18,25,0,0,1,1,0,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,6,-158,80,Hartford
2017,6,1,0,0,2,1,0,15,1,2,16,18,0,0,1,0,0,10,1,1,10,11,0,0,0,1,0,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,121,1,13,-157,81,Hartford
2018,6,1,0,0,4,2,0,9,7,4,11,15,0,0,3,1,0,6,1,3,7,10,0,0,1,1,0,3,6,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,1,11,-156,82,Hartford
