year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2013,6,1,38,0,3,2,9,31,10,5,50,55,21,0,3,0,7,18,4,3,29,32,16,0,0,2,2,10,5,2,17,19,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0,0,3,3,186,1,9,-155,83,New Orleans
2014,6,1,30,1,8,4,14,40,25,12,79,91,11,1,4,3,10,23,8,7,41,48,11,0,4,1,2,13,15,5,30,35,3,0,0,0,2,2,0,0,4,4,5,0,0,0,0,2,2,0,4,4,214,7,20,-154,84,New Orleans
2015,6,1,27,2,2,2,10,30,15,4,55,59,17,1,1,1,5,21,8,2,34,36,6,1,0,1,4,8,6,1,18,19,0,0,0,0,1,0,1,0,2,2,4,0,1,0,0,1,0,1,1,2,167,3,13,-153,85,New Orleans
2016,6,1,47,0,5,3,5,21,7,8,33,41,32,0,3,2,3,13,4,5,20,25,11,0,2,1,1,5,3,3,9,12,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,4,4,151,1,15,-158,80,New Orleans
2017,6,1,50,1,3,3,4,24,20,6,48,54,30,0,1,2,2,22,9,3,33,36,14,1,2,1,1,1,10,3,12,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,3,3,172,2,13,-157,81,New Orleans
2018,6,1,65,2,6,4,5,35,15,10,55,65,39,1,3,2,3,23,6,5,32,37,20,1,1,2,2,11,5,3,18,21,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,4,2,5,7,201,1,13,-156,82,New Orleans
2019,6,1,55,1,1,6,4,39,28,7,71,78,32,0,0,3,2,21,11,3,34,37,15,0,1,2,2,17,17,3,36,39,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,1,0,1,1,2,195,2,15,-155,83,New Orleans
2020,6,1,50,2,0,8,5,24,14,8,43,51,32,0,0,6,3,21,6,6,30,36,14,1,0,2,2,2,5,2,9,11,0,1,0,0,0,1,1,0,2,2,4,0,0,0,0,0,2,0,2,2,162,3,14,-153,85,New Orleans
2021,6,1,58,2,2,8,8,25,33,10,66,76,33,1,0,6,4,21,12,6,37,43,17,1,2,2,3,4,18,4,25,29,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,3,0,4,4,199,3,15,-159,79,New Orleans
2022,6,1,36,2,1,7,3,17,49,8,69,77,18,2,0,3,1,13,27,3,41,44,14,0,1,3,1,3,19,4,23,27,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,3,1,5,6,153,0,12,-158,80,New Orleans
2023,6,1,35,1,2,2,2,27,28,4,57,61,23,0,0,0,1,18,7,0,26,26,9,1,1,0,1,9,20,1,30,31,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,1,3,1,4,143,1,10,-157,81,New Orleans
2024,6,1,35,0,1,3,2,28,26,4,56,60,20,0,0,1,0,19,8,1,27,28,13,0,0,1,1,9,17,1,27,28,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,2,3,145,4,10,-155,83,New Orleans
2012,7,1,42,1,4,4,9,34,19,8,62,70,18,1,3,3,5,15,11,6,31,37,21,0,1,1,3,19,8,2,30,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,191,1,10,-126,112,New Orleans
2013,7,1,17,0,1,2,9,40,13,3,62,65,14,0,1,1,5,34,8,2,47,49,3,0,0,1,4,5,5,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,176,0,7,-125,113,New Orleans
2014,7,1,40,1,1,2,15,39,16,3,70,73,18,1,0,1,4,26,8,1,38,39,18,0,1,1,8,7,8,2,23,25,1,0,0,0,0,1,0,0,1,1,3,0,0,0,3,5,0,0,8,8,201,2,15,-124,114,New Orleans
2015,7,1,33,0,3,1,9,25,17,4,51,55,20,0,3,0,4,20,9,3,33,36,7,0,0,1,5,2,6,1,13,14,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,0,5,5,171,1,15,-123,115,New Orleans
2016,7,1,32,2,6,2,8,27,15,8,50,58,17,0,3,2,5,16,6,5,27,32,13,1,3,0,3,7,9,3,19,22,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,4,4,147,1,18,-128,110,New Orleans
2017,7,1,47,5,2,4,5,44,24,6,73,79,24,0,1,2,0,24,7,3,31,34,18,3,1,2,5,16,13,3,34,37,1,0,0,0,0,3,0,0,3,3,4,2,0,0,0,1,4,0,5,5,205,8,18,-127,111,New Orleans
2018,7,1,57,3,3,5,9,42,19,8,70,78,34,1,1,4,6,18,11,5,35,40,16,0,2,0,2,20,7,2,29,31,2,0,0,0,0,1,0,0,1,1,5,2,0,1,1,3,1,1,5,6,197,4,25,-126,112,New Orleans
2019,7,1,45,1,2,4,5,34,27,6,66,72,23,1,0,4,5,29,14,4,48,52,17,0,2,0,0,5,11,2,16,18,2,0,0,0,0,0,2,0,2,2,3,0,0,0,0,0,0,0,0,0,181,4,8,-125,113,New Orleans
2020,7,1,59,3,4,4,6,23,21,8,50,58,39,2,3,1,4,18,9,4,31,35,14,0,1,1,2,5,9,2,16,18,1,0,0,0,0,0,1,0,1,1,5,1,0,2,0,0,2,2,2,4,190,3,17,-123,115,New Orleans
2021,7,1,56,4,6,6,8,31,15,12,54,66,31,2,4,3,4,17,6,7,27,34,17,1,2,3,4,13,9,5,26,31,1,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,1,1,187,1,11,-129,109,New Orleans
2022,7,1,33,2,1,4,7,14,33,5,54,59,25,0,0,2,6,8,15,2,29,31,7,2,1,2,1,4,13,3,18,21,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,4,0,6,6,138,1,10,-128,110,New Orleans
